date,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,season
"Feb 1, 2007",DAL (38-9),PHO (37-9),SAS (32-16),HOU (29-16),UTA (30-17),LAL (28-18),DEN (22-21),LAC (23-22),MIN (22-23),GSW (21-25),POR (20-27),NOK (19-26),SAC (18-26),SEA (17-29),MEM (12-35),2007
"Feb 2, 2007",DAL (38-9),PHO (37-9),SAS (32-16),HOU (29-16),UTA (30-17),LAL (28-19),DEN (23-21),LAC (24-22),MIN (22-24),GSW (22-25),NOK (20-26),POR (20-28),SAC (18-26),SEA (17-30),MEM (12-35),2007
"Feb 3, 2007",DAL (39-9),PHO (37-10),SAS (32-16),UTA (31-17),HOU (29-17),LAL (29-19),LAC (24-22),DEN (23-22),MIN (22-25),GSW (22-26),NOK (21-26),SAC (19-26),POR (20-29),SEA (17-30),MEM (12-36),2007
"Feb 4, 2007",DAL (39-9),PHO (37-10),SAS (32-16),UTA (31-17),HOU (29-17),LAL (29-19),DEN (23-22),LAC (24-23),MIN (22-25),GSW (22-26),NOK (21-26),SAC (19-26),POR (20-29),SEA (17-30),MEM (12-36),2007
"Feb 5, 2007",DAL (39-9),PHO (38-10),SAS (32-16),UTA (32-17),HOU (30-17),LAL (30-19),LAC (24-23),DEN (23-23),GSW (23-26),MIN (22-26),NOK (21-27),SAC (20-26),POR (20-29),SEA (17-31),MEM (12-36),2007
"Feb 6, 2007",DAL (39-9),PHO (39-10),SAS (32-16),UTA (32-17),HOU (31-17),LAL (30-19),LAC (24-24) T7,DEN (23-23) T7,GSW (23-26),MIN (22-26),NOK (21-27),SAC (20-26),POR (20-30),SEA (17-31),MEM (12-37),2007
"Feb 7, 2007",DAL (40-9),PHO (39-10),SAS (33-16),UTA (32-17),HOU (31-17),LAL (30-19),LAC (24-25),DEN (23-24),MIN (23-26),GSW (23-27),NOK (22-27),SAC (20-26),POR (20-30),SEA (18-31),MEM (12-38),2007
"Feb 8, 2007",DAL (40-9),PHO (39-10),SAS (33-16),UTA (32-17),HOU (31-17),LAL (30-20),LAC (24-25),DEN (23-24),MIN (23-26),GSW (23-27) T10,NOK (23-27) T10,SAC (21-26),POR (20-30),SEA (18-31),MEM (12-38),2007
"Feb 9, 2007",DAL (41-9),PHO (39-11),SAS (33-17),UTA (32-17),HOU (31-18),LAL (30-21),LAC (25-25) T7,DEN (24-24) T7,GSW (24-27),MIN (23-27) T10,NOK (23-27) T10,SAC (21-26),POR (21-30),SEA (18-31),MEM (13-38),2007
"Feb 10, 2007",DAL (41-9),PHO (39-11),SAS (33-17) T3,UTA (33-17) T3,HOU (32-18),LAL (30-21),DEN (25-24),LAC (25-25),GSW (24-27) T9,NOK (24-27) T9,MIN (23-27),SAC (22-26),POR (21-30),SEA (18-32),MEM (13-39),2007
"Feb 11, 2007",DAL (42-9),PHO (39-12),UTA (33-17),SAS (33-18),HOU (32-18),LAL (30-22),DEN (25-24),LAC (25-26),MIN (24-27) T9,NOK (24-27) T9,GSW (24-28),SAC (22-27),POR (22-30),SEA (19-32),MEM (13-39),2007
"Feb 12, 2007",DAL (42-9),PHO (39-12),UTA (34-17),SAS (33-18),HOU (32-18),LAL (30-22),DEN (26-24),LAC (25-27),MIN (24-27) T9,NOK (24-27) T9,GSW (24-29),SAC (22-27),POR (22-30),SEA (19-32),MEM (13-39),2007
"Feb 13, 2007",DAL (43-9),PHO (39-12),UTA (34-17),SAS (34-18),HOU (33-18),LAL (30-23),DEN (26-24),LAC (25-27),MIN (24-27),NOK (24-28),GSW (24-29),SAC (22-28),POR (22-31),SEA (19-32),MEM (14-39),2007
"Feb 14, 2007",DAL (43-9),PHO (39-13),UTA (35-17),SAS (35-18),HOU (33-18),LAL (30-23),DEN (26-25),MIN (25-27),LAC (25-28) T9,NOK (25-28) T9,GSW (25-29),SAC (22-29),POR (22-32),SEA (20-32),MEM (14-40),2007
"Feb 15, 2007",DAL (44-9),PHO (39-13),UTA (35-17),SAS (35-18),HOU (33-19),LAL (30-24),DEN (26-25),MIN (25-27),LAC (25-28) T9,NOK (25-28) T9,GSW (25-29),SAC (22-29),POR (22-32),SEA (20-32),MEM (14-40),2007
"Feb 20, 2007",DAL (44-9),PHO (40-13),SAS (36-18),UTA (35-18),HOU (33-19),LAL (30-24),DEN (26-26),MIN (25-28),GSW (25-29) T9,LAC (25-29) T9,NOK (25-29) T9,SAC (23-29),POR (23-32),SEA (21-32),MEM (14-41),2007
"Feb 21, 2007",DAL (44-9),PHO (41-13),SAS (37-18),UTA (35-18),HOU (34-19),LAL (30-25),DEN (26-26),GSW (26-29) T8,NOK (26-29) T8,LAC (25-29) T10,MIN (25-29) T10,SAC (23-29),POR (24-32),SEA (21-32),MEM (14-42),2007
"Feb 22, 2007",DAL (45-9),PHO (41-13),SAS (37-18),UTA (35-18),HOU (34-19),LAL (30-25),DEN (26-26),GSW (26-29) T8,NOK (26-29) T8,LAC (25-29) T10,MIN (25-29) T10,SAC (23-30),POR (24-32),SEA (21-32),MEM (14-42),2007
"Feb 23, 2007",DAL (45-9),PHO (42-13),SAS (37-18),UTA (36-18),HOU (34-20),LAL (31-25),DEN (26-27),NOK (27-29),GSW (26-29),LAC (25-29),MIN (25-30),SAC (23-31),POR (24-33),SEA (21-33),MEM (15-42),2007
"Feb 24, 2007",DAL (46-9),PHO (42-13),SAS (38-18),UTA (37-18),HOU (34-20),LAL (31-25),NOK (27-29),DEN (26-28),LAC (26-29),GSW (26-30),MIN (25-30),SAC (23-31),POR (24-33),SEA (21-34),MEM (15-42),2007
"Feb 25, 2007",DAL (46-9),PHO (43-13),SAS (38-18),UTA (37-18),HOU (35-20),LAL (32-25),NOK (27-29),DEN (26-28),LAC (26-29),MIN (26-30),GSW (26-31),SAC (24-31),POR (24-33),SEA (21-34),MEM (15-42),2007
"Feb 26, 2007",DAL (47-9),PHO (43-13),SAS (39-18),UTA (37-19),HOU (35-21),LAL (33-25),DEN (27-28),LAC (27-29) T8,NOK (27-29) T8,MIN (26-30),GSW (26-31),SAC (24-32),POR (24-34),SEA (22-34),MEM (15-43),2007
"Feb 27, 2007",DAL (48-9),PHO (44-13),SAS (39-18),UTA (37-19),HOU (35-21),LAL (33-25),DEN (27-28),LAC (27-29),NOK (27-30),MIN (26-31),GSW (26-32),SAC (24-32),POR (24-34),SEA (22-34),MEM (15-43),2007
"Feb 28, 2007",DAL (48-9),PHO (44-14),SAS (39-18),UTA (38-19),HOU (35-22),LAL (33-25),DEN (28-28),LAC (28-29),NOK (28-30),MIN (26-31),GSW (26-33),SAC (25-32),POR (24-34),SEA (22-35),MEM (15-44),2007
"Mar 1, 2007",DAL (49-9),PHO (44-14),SAS (39-18),UTA (38-19),HOU (35-22),LAL (33-25),DEN (28-28),LAC (28-30) T8,NOK (28-30) T8,MIN (26-31),GSW (26-33),SAC (25-32),POR (25-34),SEA (23-35),MEM (15-44),2007
"Mar 2, 2007",DAL (49-9),PHO (45-14),SAS (40-18),UTA (39-19),HOU (36-22),LAL (33-26),DEN (28-29),LAC (28-30),NOK (28-31),MIN (26-32) T10,SAC (26-32) T10,GSW (26-34),POR (25-34),SEA (23-35),MEM (15-45),2007
"Mar 3, 2007",DAL (50-9),PHO (45-14),SAS (41-18),UTA (39-19),HOU (36-23),LAL (33-26),LAC (29-30),DEN (28-29),NOK (28-31),SAC (27-32),MIN (26-32),GSW (26-34),POR (25-35),SEA (23-35),MEM (15-46),2007
"Mar 4, 2007",DAL (50-9),PHO (46-14),SAS (41-18),UTA (40-19),HOU (36-23),LAL (33-27),LAC (29-30),DEN (28-29),NOK (28-32),SAC (27-32),MIN (26-33),GSW (26-35),POR (25-35),SEA (24-35),MEM (15-46),2007
"Mar 5, 2007",DAL (50-9),PHO (46-14),SAS (42-18),UTA (41-19),HOU (36-24),LAL (33-27),DEN (28-29),LAC (29-31),NOK (28-32),SAC (27-32),MIN (26-33),GSW (27-35),POR (25-35),SEA (24-35),MEM (15-46),2007
"Mar 6, 2007",DAL (51-9),PHO (46-14),SAS (43-18),UTA (41-19),HOU (36-24),LAL (33-28),DEN (29-29),LAC (29-31),SAC (28-32),NOK (28-33),MIN (27-33),GSW (27-35),SEA (25-35),POR (25-36),MEM (15-46),2007
"Mar 7, 2007",DAL (51-9),PHO (47-14),SAS (43-18),UTA (42-19),HOU (37-24),LAL (33-29),DEN (29-30),LAC (29-31),SAC (28-32),NOK (28-33),MIN (27-33),GSW (28-35),POR (25-36) T13,SEA (25-36) T13,MEM (15-47),2007
"Mar 8, 2007",DAL (51-9),PHO (47-14),SAS (44-18),UTA (42-19),HOU (37-24),LAL (33-29),DEN (29-30),LAC (29-31),NOK (28-33) T9,SAC (28-33) T9,MIN (27-33),GSW (28-35),POR (25-36) T13,SEA (25-36) T13,MEM (15-47),2007
"Mar 9, 2007",DAL (51-9),PHO (48-14),SAS (44-18),UTA (42-19),HOU (38-24),LAL (33-30),DEN (29-31),LAC (29-32),SAC (28-33),GSW (29-35),NOK (28-34),MIN (27-34),POR (25-36),SEA (25-37),MEM (15-48),2007
"Mar 10, 2007",DAL (51-9),PHO (48-14),SAS (45-18),UTA (43-19),HOU (38-24),LAL (33-30),DEN (29-31),LAC (29-32),SAC (28-33),GSW (29-35),NOK (28-35),MIN (27-35),POR (25-36),SEA (25-37),MEM (16-48),2007
"Mar 11, 2007",DAL (52-9),PHO (48-14),SAS (45-18),UTA (43-19),HOU (39-24),LAL (33-31),DEN (30-31),LAC (29-33),SAC (28-34),GSW (29-36),NOK (28-35),MIN (27-35),POR (26-36),SEA (25-38),MEM (16-48),2007
"Mar 12, 2007",DAL (52-10),PHO (49-14),SAS (45-18),UTA (43-19),HOU (39-25),LAL (33-31),DEN (30-31),LAC (29-33),GSW (30-36),SAC (28-34),NOK (28-35),MIN (27-35),POR (26-36),SEA (25-38),MEM (16-49),2007
"Mar 13, 2007",DAL (52-10),PHO (49-14),SAS (46-18),UTA (43-20),HOU (39-25),LAL (33-31),DEN (31-31),LAC (29-34),GSW (30-36),MIN (28-35) T10,SAC (28-35) T10,NOK (28-36),POR (26-37),SEA (25-39),MEM (16-49),2007
"Mar 14, 2007",DAL (52-11),PHO (50-14),SAS (46-18),UTA (43-21),HOU (40-25),LAL (33-31),DEN (31-31),GSW (30-36),LAC (29-35),MIN (28-35),NOK (28-36) T11,SAC (28-36) T11,POR (26-38),SEA (25-39),MEM (16-50),2007
"Mar 15, 2007",DAL (52-11),PHO (50-14),SAS (46-19),UTA (43-21),HOU (40-25),DEN (32-31),LAL (33-32),GSW (30-36),LAC (29-35),MIN (28-35),NOK (28-36) T11,SAC (28-36) T11,POR (26-38),SEA (25-39),MEM (16-50),2007
"Mar 16, 2007",DAL (53-11),PHO (50-15),SAS (46-19),UTA (43-22),HOU (41-25),LAL (34-32),DEN (32-31),GSW (31-36),LAC (30-35),NOK (29-36),MIN (28-36),SAC (28-37),POR (26-39),SEA (25-39),MEM (16-50),2007
"Mar 17, 2007",DAL (53-11),PHO (50-16),SAS (46-20),UTA (43-23),HOU (41-25),DEN (33-31),LAL (34-32),GSW (32-36),LAC (30-35),NOK (29-37) T10,SAC (29-37) T10,MIN (28-36),POR (26-39),SEA (25-40),MEM (17-50),2007
"Mar 18, 2007",DAL (54-11),PHO (50-16),SAS (46-20),UTA (43-23),HOU (42-25),LAL (35-32),DEN (33-31),GSW (32-36),LAC (30-36),NOK (29-37) T10,SAC (29-37) T10,MIN (28-37),POR (26-40) T13,SEA (26-40) T13,MEM (17-50),2007
"Mar 19, 2007",DAL (54-11),PHO (50-16),SAS (46-20),UTA (43-23),HOU (42-25),LAL (35-32),DEN (33-31),GSW (32-36),LAC (30-36),NOK (30-37),SAC (29-38),MIN (28-37),POR (26-40) T13,SEA (26-40) T13,MEM (17-50),2007
"Mar 20, 2007",DAL (55-11),PHO (51-16),SAS (46-20),UTA (44-23),HOU (43-25),DEN (34-31),LAL (35-32),GSW (32-37),LAC (31-36),NOK (31-37),SAC (29-38),MIN (28-38),POR (27-40),SEA (26-40),MEM (17-51),2007
"Mar 21, 2007",DAL (56-11),PHO (51-16),SAS (47-20),UTA (44-23),HOU (43-25),DEN (34-31),LAL (35-32),LAC (32-36),GSW (32-37),NOK (31-37),MIN (29-38),SAC (29-39),POR (27-40),SEA (26-41),MEM (17-51),2007
"Mar 22, 2007",DAL (56-11),PHO (52-16),SAS (47-20),UTA (44-23),HOU (44-25),LAL (36-32),DEN (34-32),LAC (32-36),GSW (32-37),NOK (31-37),MIN (29-38),SAC (29-40),POR (28-40),SEA (26-41),MEM (17-52),2007
"Mar 23, 2007",DAL (57-11),PHO (52-16),SAS (48-20),UTA (44-24),HOU (44-25),LAL (37-32),DEN (34-33),LAC (33-36),GSW (33-37),NOK (31-38),MIN (29-39),POR (29-40) T12,SAC (29-40) T12,SEA (27-41),MEM (17-52),2007
"Mar 24, 2007",DAL (57-11),PHO (52-16),SAS (48-20),UTA (45-24),HOU (44-25),LAL (37-32),DEN (34-33),LAC (34-36),GSW (33-37),NOK (31-38),MIN (29-39),POR (29-40) T12,SAC (29-40) T12,SEA (27-41),MEM (17-53),2007
"Mar 25, 2007",DAL (58-11),PHO (52-17),SAS (49-20),UTA (45-24),HOU (44-26),LAL (38-32),DEN (35-33),LAC (34-36),GSW (33-38),NOK (32-38),MIN (30-39),SAC (30-40),POR (29-41),SEA (27-42),MEM (17-53),2007
"Mar 26, 2007",DAL (58-11),PHO (53-17),SAS (50-20),UTA (46-24),HOU (45-26),LAL (38-32),DEN (35-34),LAC (34-36),GSW (33-39),NOK (32-38),MIN (30-39),SAC (30-40),POR (29-42),SEA (27-42),MEM (17-54),2007
"Mar 27, 2007",DAL (59-11),PHO (53-17),SAS (50-20),UTA (46-24),HOU (45-26),LAL (38-33),DEN (35-34),LAC (34-36),GSW (33-39),NOK (32-39),MIN (30-40) T11,SAC (30-40) T11,POR (29-42),SEA (28-42),MEM (18-54),2007
"Mar 28, 2007",DAL (60-11),PHO (53-17),SAS (51-20),UTA (47-24),HOU (46-26),LAL (38-33),DEN (35-35),LAC (34-37),GSW (33-39),NOK (32-40),SAC (30-40),MIN (30-41),POR (29-42) T13,SEA (29-42) T13,MEM (18-54),2007
"Mar 29, 2007",DAL (60-11),PHO (53-18),SAS (51-20),UTA (47-24),HOU (46-26),LAL (38-33),DEN (35-35),LAC (34-37),GSW (34-39),NOK (32-40),SAC (30-40),MIN (30-41),SEA (29-42),POR (29-43),MEM (19-54),2007
"Mar 30, 2007",DAL (61-11),PHO (54-18),SAS (52-20),UTA (47-25),HOU (47-26),LAL (38-34),DEN (35-36),LAC (35-37),GSW (34-39),NOK (32-40),SAC (30-41),MIN (30-42) T12,SEA (30-42) T12,POR (29-43),MEM (19-55),2007
"Mar 31, 2007",DAL (61-11),PHO (54-18),SAS (52-20),UTA (47-25),HOU (47-26),LAL (38-34),LAC (36-37),DEN (35-36),GSW (34-39),NOK (33-40),SAC (30-41),MIN (30-42) T12,SEA (30-42) T12,POR (29-44),MEM (19-55),2007
"Apr 1, 2007",DAL (61-12),PHO (55-18),SAS (52-21),UTA (48-25),HOU (47-27),LAL (39-34),DEN (36-36),LAC (36-37),GSW (35-39),NOK (33-40),MIN (31-42),SAC (30-42),SEA (30-43),POR (29-44),MEM (19-56),2007
"Apr 3, 2007",DAL (62-12),PHO (56-18),SAS (53-21),UTA (48-25),HOU (47-27),LAL (39-35),DEN (37-36),LAC (36-37),GSW (35-39),NOK (34-40),MIN (31-43),SAC (30-43),SEA (30-44),POR (29-44),MEM (19-57),2007
"Apr 4, 2007",DAL (62-12),PHO (56-18),SAS (53-21),UTA (48-26),HOU (47-28),LAL (39-36),DEN (38-36),LAC (37-37),GSW (36-39),NOK (35-40),MIN (31-43),POR (30-44) T12,SAC (30-44) T12,SEA (30-45),MEM (19-57),2007
"Apr 5, 2007",DAL (62-12),PHO (56-19),SAS (54-21),UTA (48-26),HOU (47-28),LAL (39-36),DEN (38-36),LAC (37-37),GSW (36-39),NOK (35-40),MIN (31-43),POR (30-44) T12,SAC (30-44) T12,SEA (30-45),MEM (19-57),2007
"Apr 6, 2007",DAL (62-13),PHO (57-19),SAS (54-21),UTA (48-27),HOU (47-29),LAL (40-36),DEN (39-36),LAC (37-37),GSW (37-39),NOK (35-41),MIN (32-43),POR (31-44) T12,SAC (31-44) T12,SEA (30-46),MEM (19-58),2007
"Apr 7, 2007",DAL (63-13),PHO (57-19),SAS (55-21),UTA (48-28),HOU (47-29),DEN (40-36) T6,LAL (40-36) T6,LAC (37-38),GSW (37-40),NOK (36-41),MIN (32-44),SAC (31-44),POR (31-45),SEA (31-46),MEM (19-59),2007
"Apr 8, 2007",DAL (63-13),PHO (58-19),SAS (55-21),UTA (48-28),HOU (48-29),DEN (40-36),LAL (40-37),LAC (37-38),GSW (37-40),NOK (36-41),MIN (32-44),POR (31-45) T12,SAC (31-45) T12,SEA (31-46),MEM (19-59),2007
"Apr 9, 2007",DAL (64-13),PHO (58-19),SAS (56-21),HOU (49-29),UTA (48-29),DEN (41-36),LAL (40-38),GSW (38-40),LAC (37-39),NOK (36-41),MIN (32-45),SAC (31-45),POR (31-46),SEA (31-47),MEM (19-59),2007
"Apr 10, 2007",DAL (64-13),PHO (58-19),SAS (56-21),HOU (49-29),UTA (48-29),DEN (41-36),LAL (40-38),GSW (38-40),LAC (37-40),NOK (37-41),MIN (32-45) T11,SAC (32-45) T11,POR (31-46),SEA (31-47),MEM (19-60),2007
"Apr 11, 2007",DAL (65-13),PHO (59-19),SAS (57-21),HOU (50-29),UTA (48-30),DEN (42-36),LAL (40-38),GSW (38-40),LAC (37-40),NOK (37-41),MIN (32-46) T11,SAC (32-46) T11,POR (31-47),SEA (31-48),MEM (19-60),2007
"Apr 12, 2007",DAL (65-13),PHO (59-19),SAS (57-21),HOU (50-29),UTA (48-30),DEN (42-36),LAL (40-39),GSW (38-40) T8,LAC (38-40) T8,NOK (37-41),MIN (32-46) T11,SAC (32-46) T11,POR (31-47),SEA (31-48),MEM (19-60),2007
"Apr 13, 2007",DAL (65-14),PHO (60-19),SAS (58-21),HOU (50-29),UTA (49-30),DEN (43-36),LAL (40-40),GSW (39-40) T8,LAC (39-40) T8,NOK (37-42),MIN (32-47) T11,SAC (32-47) T11,POR (31-48) T13,SEA (31-48) T13,MEM (19-60),2007
"Apr 14, 2007",DAL (65-14),PHO (61-19),SAS (58-21),HOU (51-29),UTA (49-31),DEN (43-37),LAL (40-40),GSW (39-40) T8,LAC (39-40) T8,NOK (37-43),MIN (32-47) T11,SAC (32-47) T11,POR (32-48),SEA (31-49),MEM (20-60),2007
"Apr 15, 2007",DAL (66-14),PHO (61-19),SAS (58-22),HOU (51-29),UTA (49-31),DEN (43-37),LAL (41-40),GSW (40-40),LAC (39-41),NOK (37-43),SAC (33-47),MIN (32-48) T12,POR (32-48) T12,SEA (31-50),MEM (20-60),2007
"Apr 16, 2007",DAL (66-14),PHO (61-20),SAS (58-23),HOU (52-29),UTA (50-31),DEN (44-37),LAL (41-40),GSW (40-40),LAC (39-41),NOK (38-43),SAC (33-48),MIN (32-49) T12,POR (32-49) T12,SEA (31-50),MEM (21-60),2007
"Apr 17, 2007",DAL (66-15),PHO (61-21),SAS (58-23),HOU (52-29),UTA (50-31),DEN (44-37),GSW (41-40) T7,LAL (41-40) T7,LAC (40-41),NOK (38-43),SAC (33-48),MIN (32-49) T12,POR (32-49) T12,SEA (31-50),MEM (21-60),2007
"Apr 18, 2007",DAL (67-15),PHO (61-21),SAS (58-24),HOU (52-30),UTA (51-31),DEN (45-37),GSW (42-40) T7,LAL (42-40) T7,LAC (40-42),NOK (39-43),SAC (33-49),MIN (32-50) T12,POR (32-50) T12,SEA (31-51),MEM (22-60),2007
"Nov 2, 2007",SAS (3-0) T1,DEN (2-0) T1,HOU (2-0) T1,NOH (2-0) T1,LAC (1-0) T1,DAL (1-1) T6,LAL (1-1) T6,PHO (1-1) T6,UTA (1-1) T6,GSW (0-2) T10,MEM (0-1) T10,MIN (0-1) T10,POR (0-2) T10,SAC (0-2) T10,SEA (0-2) T10,2008
"Nov 3, 2007",HOU (3-0) T1,SAS (3-0) T1,DEN (2-0) T1,NOH (2-0) T1,LAC (1-0) T1,DAL (2-1) T6,UTA (2-1) T6,LAL (1-1) T8,PHO (1-1) T8,GSW (0-3) T10,MEM (0-2) T10,MIN (0-1) T10,POR (0-3) T10,SAC (0-3) T10,SEA (0-2) T10,2008
"Nov 4, 2007",HOU (3-0) T1,NOH (3-0) T1,SAS (3-0) T1,LAC (2-0) T1,DAL (2-1) T5,DEN (2-1) T5,LAL (2-1) T5,PHO (2-1) T5,UTA (2-2),GSW (0-3) T10,MEM (0-2) T10,MIN (0-2) T10,POR (0-3) T10,SAC (0-3) T10,SEA (0-3) T10,2008
"Nov 5, 2007",NOH (3-0) T1,SAS (3-0) T1,LAC (2-0) T1,DAL (3-1) T4,HOU (3-1) T4,DEN (2-1) T6,LAL (2-1) T6,PHO (2-1) T6,UTA (2-2),GSW (0-3) T10,MEM (0-2) T10,MIN (0-2) T10,POR (0-3) T10,SAC (0-3) T10,SEA (0-3) T10,2008
"Nov 6, 2007",NOH (4-0) T1,LAC (3-0) T1,HOU (4-1),DAL (3-1) T4,PHO (3-1) T4,SAS (3-1) T4,DEN (2-2) T7,LAL (2-2) T7,UTA (2-2) T7,SAC (1-3),GSW (0-4) T11,MEM (0-2) T11,MIN (0-3) T11,POR (0-3) T11,SEA (0-4) T11,2008
"Nov 7, 2007",LAC (4-0),HOU (4-1) T2,NOH (4-1) T2,SAS (4-1) T2,DAL (3-1),PHO (3-2) T6,UTA (3-2) T6,LAL (2-2),DEN (2-3),MEM (1-2),POR (1-3) T11,SAC (1-3) T11,GSW (0-4) T13,MIN (0-3) T13,SEA (0-5) T13,2008
"Nov 8, 2007",LAC (4-0),DAL (4-1) T2,HOU (4-1) T2,NOH (4-1) T2,SAS (4-1) T2,PHO (3-2) T6,UTA (3-2) T6,LAL (2-2),DEN (2-3),MEM (1-2),POR (1-3) T11,SAC (1-3) T11,GSW (0-5) T13,MIN (0-3) T13,SEA (0-5) T13,2008
"Nov 9, 2007",HOU (5-1) T1,SAS (5-1) T1,DAL (4-1) T3,LAC (4-1) T3,NOH (4-2) T5,PHO (4-2) T5,UTA (4-2) T5,LAL (3-2),DEN (3-3),POR (2-3),MEM (1-3),SAC (1-4),GSW (0-5) T13,MIN (0-4) T13,SEA (0-6) T13,2008
"Nov 10, 2007",HOU (5-1) T1,SAS (5-1) T1,LAC (4-1),PHO (5-2) T4,UTA (5-2) T4,DAL (4-2) T6,NOH (4-2) T6,LAL (3-2),DEN (4-3),POR (3-3),SAC (2-4),MEM (1-4),GSW (0-5) T13,MIN (0-5) T13,SEA (0-6) T13,2008
"Nov 11, 2007",HOU (6-1) T1,SAS (6-1) T1,NOH (5-2) T3,PHO (5-2) T3,UTA (5-2) T3,DAL (4-2) T6,LAC (4-2) T6,LAL (3-2),DEN (4-3),POR (3-3),SAC (2-4),MEM (1-4),GSW (0-5) T13,MIN (0-5) T13,SEA (0-7) T13,2008
"Nov 12, 2007",HOU (6-1) T1,SAS (6-1) T1,NOH (6-2) T3,UTA (6-2) T3,PHO (5-2),DAL (4-2) T6,LAC (4-2) T6,DEN (5-3),LAL (3-2),POR (3-3),SAC (2-5),MEM (1-4),GSW (0-5) T13,MIN (0-5) T13,SEA (0-7) T13,2008
"Nov 13, 2007",SAS (7-1),HOU (6-2) T2,NOH (6-2) T2,PHO (6-2) T2,UTA (6-2) T2,DAL (5-2),LAC (4-2),DEN (5-3),POR (4-3),LAL (3-3),MEM (2-4),SAC (2-5),GSW (0-5) T13,MIN (0-5) T13,SEA (0-8) T13,2008
"Nov 14, 2007",SAS (7-1),NOH (7-2) T2,UTA (7-2) T2,PHO (6-2),DAL (5-2) T5,LAC (5-2) T5,DEN (6-3) T7,HOU (6-3) T7,LAL (4-3),POR (4-4),MEM (2-5),SAC (2-6),MIN (1-5),SEA (1-8),GSW (0-6),2008
"Nov 15, 2007",NOH (7-2) T1,PHO (7-2) T1,SAS (7-2) T1,UTA (7-2) T1,DAL (6-2),LAC (5-2),DEN (6-3) T7,HOU (6-3) T7,LAL (4-3),POR (4-4),MEM (2-5),SAC (2-6),MIN (1-5),SEA (1-8),GSW (0-6),2008
"Nov 16, 2007",NOH (8-2) T1,SAS (8-2) T1,PHO (7-2),DAL (6-2),UTA (7-3),DEN (6-3),LAC (5-3) T7,LAL (5-3) T7,HOU (6-4),POR (4-5),SAC (3-6),MEM (2-6),SEA (2-8),GSW (1-6) T14,MIN (1-6) T14,2008
"Nov 17, 2007",NOH (9-2),PHO (8-2) T2,SAS (8-2) T2,DAL (7-2),DEN (7-3),UTA (7-4),LAL (5-3),LAC (5-4),HOU (6-5),POR (4-6),SAC (3-6),MEM (2-7),SEA (2-9),GSW (1-6),MIN (1-7),2008
"Nov 18, 2007",NOH (9-2),PHO (8-2) T2,SAS (8-2) T2,DAL (7-2),DEN (7-3),LAL (6-3),UTA (7-4),LAC (5-4),HOU (6-5),POR (4-6) T10,SAC (4-6) T10,GSW (2-6),MEM (2-7),SEA (2-9),MIN (1-7),2008
"Nov 19, 2007",PHO (8-2) T1,SAS (8-2) T1,DAL (7-2),NOH (9-3),DEN (7-3),UTA (8-4) T6,LAL (6-3) T6,LAC (5-4),HOU (6-5),SAC (4-6),POR (4-7),MEM (3-7),GSW (2-6),SEA (2-10),MIN (1-7),2008
"Nov 20, 2007",PHO (9-2) T1,SAS (9-2) T1,DAL (8-2),NOH (9-3),DEN (8-3),LAL (7-3),UTA (8-4),LAC (5-4),HOU (6-5),POR (4-7) T10,SAC (4-7) T10,GSW (3-6),MEM (3-7),SEA (2-10),MIN (1-7),2008
"Nov 21, 2007",PHO (10-2) T1,SAS (10-2) T1,DAL (9-2),NOH (9-4),DEN (8-4) T5,UTA (8-4) T5,LAL (7-4),LAC (6-4),HOU (6-6),POR (4-8) T10,SAC (4-8) T10,GSW (3-7),MEM (3-8),SEA (2-10),MIN (1-8),2008
"Nov 23, 2007",PHO (11-2) T1,SAS (11-2) T1,DAL (9-3),DEN (9-4) T4,UTA (9-4) T4,NOH (9-5),LAL (7-5),LAC (6-5),HOU (6-7),POR (5-8),GSW (4-7),SAC (4-9),MEM (3-9),SEA (2-11),MIN (1-9),2008
"Nov 24, 2007",PHO (11-2) T1,SAS (11-2) T1,DAL (9-4) T3,UTA (9-4) T3,NOH (10-5),DEN (9-5),LAL (7-5),HOU (7-7) T8,LAC (6-6) T8,GSW (5-7),POR (5-8),MEM (4-9) T12,SAC (4-9) T12,SEA (2-11),MIN (1-10),2008
"Nov 25, 2007",SAS (12-2),PHO (11-2),UTA (10-4),DAL (9-4),NOH (10-5),DEN (9-5),LAL (7-6),HOU (7-7) T8,LAC (6-6) T8,GSW (5-7),POR (5-8),MEM (4-9) T12,SAC (4-9) T12,SEA (2-12),MIN (1-10),2008
"Nov 26, 2007",SAS (12-3),PHO (11-3),UTA (10-5),DAL (9-5) T4,DEN (9-5) T4,NOH (10-6),LAL (7-6),HOU (8-7),GSW (6-7) T9,LAC (6-7) T9,POR (5-9) T11,SAC (5-9) T11,MEM (4-9),MIN (2-10),SEA (2-12),2008
"Nov 27, 2007",SAS (12-3),PHO (11-3),UTA (10-5),DAL (9-5),NOH (10-6),DEN (9-6),LAL (8-6),HOU (8-7),GSW (6-7) T9,LAC (6-7) T9,MEM (5-9) T11,POR (5-9) T11,SAC (5-9) T11,MIN (2-10),SEA (2-13),2008
