date,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,season
"Apr 12, 2008",BOS (64-16),DET (56-23),ORL (49-30),CLE (43-36),WAS (42-38),TOR (40-39),PHI (40-40),ATL (37-43),IND (35-45),NJN (33-47),CHI (31-48),CHA (31-49),MIL (26-54),NYK (23-57),MIA (14-65),2008
"Apr 13, 2008",BOS (64-16),DET (57-23),ORL (50-30),CLE (44-36),WAS (42-38),PHI (40-40) T6,TOR (40-40) T6,ATL (37-43),IND (35-45),NJN (33-47),CHA (31-49) T11,CHI (31-49) T11,MIL (26-54),NYK (23-57),MIA (14-66),2008
"Apr 14, 2008",BOS (65-16),DET (57-23),ORL (50-30),CLE (45-36),WAS (43-38),TOR (41-40),PHI (40-41),ATL (37-43),IND (35-46),NJN (33-47),CHI (32-49),CHA (31-49),MIL (26-55),NYK (23-58),MIA (14-67),2008
"Apr 15, 2008",BOS (65-16),DET (58-23),ORL (51-30),CLE (45-36),WAS (43-38),TOR (41-40),PHI (40-41),ATL (37-44),IND (35-46),NJN (34-47),CHI (32-49),CHA (31-50),MIL (26-55),NYK (23-58),MIA (14-67),2008
"Apr 16, 2008",BOS (66-16),DET (59-23),ORL (52-30),CLE (45-37),WAS (43-39),TOR (41-41),PHI (40-42),ATL (37-45),IND (36-46),NJN (34-48),CHI (33-49),CHA (32-50),MIL (26-56),NYK (23-59),MIA (15-67),2008
"Oct 30, 2008",ATL (1-0) T1,BOS (1-0) T1,CHI (1-0) T1,DET (1-0) T1,NJN (1-0) T1,NYK (1-0) T1,TOR (1-0) T1,CLE (1-1) T8,MIL (1-1) T8,CHA (0-1) T10,IND (0-1) T10,MIA (0-1) T10,ORL (0-1) T10,PHI (0-1) T10,WAS (0-1) T10,2009
"Oct 31, 2008",BOS (2-0) T1,TOR (2-0) T1,ATL (1-0) T1,DET (1-0) T1,NJN (1-0) T1,CHI (1-1) T6,CLE (1-1) T6,MIA (1-1) T6,MIL (1-1) T6,NYK (1-1) T6,PHI (1-1) T6,CHA (0-1) T12,IND (0-1) T12,ORL (0-2) T12,WAS (0-1) T12,2009
"Nov 1, 2008",TOR (3-0) T1,ATL (2-0) T1,DET (2-0) T1,BOS (2-1) T4,CHI (2-1) T4,CHA (1-1) T6,IND (1-1) T6,NJN (1-1) T6,NYK (1-1) T6,CLE (1-2) T10,MIA (1-2) T10,MIL (1-2) T10,ORL (1-2) T10,PHI (1-2) T10,WAS (0-2),2009
"Nov 2, 2008",TOR (3-0) T1,ATL (2-0) T1,DET (2-0) T1,BOS (2-1) T4,CHI (2-1) T4,MIL (2-2) T6,CHA (1-1) T6,IND (1-1) T6,NJN (1-1) T6,CLE (1-2) T10,MIA (1-2) T10,NYK (1-2) T10,ORL (1-2) T10,PHI (1-2) T10,WAS (0-2),2009
"Nov 3, 2008",DET (3-0) T1,TOR (3-0) T1,ATL (2-0) T1,BOS (2-1),CHI (2-2) T5,CLE (2-2) T5,MIL (2-2) T5,ORL (2-2) T5,PHI (2-2) T5,IND (1-1) T5,NJN (1-1) T5,CHA (1-2) T12,MIA (1-2) T12,NYK (1-2) T12,WAS (0-2),2009
"Nov 4, 2008",DET (3-0) T1,TOR (3-0) T1,ATL (2-0) T1,BOS (3-1),CHI (2-2) T5,CLE (2-2) T5,MIL (2-2) T5,ORL (2-2) T5,PHI (2-2) T5,IND (1-1) T5,CHA (1-2) T11,MIA (1-2) T11,NJN (1-2) T11,NYK (1-2) T11,WAS (0-2),2009
"Nov 5, 2008",DET (4-0) T1,ATL (3-0) T1,BOS (4-1),TOR (3-1),CLE (3-2) T5,MIL (3-2) T5,MIA (2-2) T7,NYK (2-2) T7,ORL (2-2) T7,CHI (2-3) T10,PHI (2-3) T10,IND (1-2) T12,NJN (1-2) T12,CHA (1-3),WAS (0-3),2009
"Nov 6, 2008",DET (4-0) T1,ATL (3-0) T1,BOS (4-1),TOR (3-1),CLE (3-2) T5,MIL (3-2) T5,ORL (3-2) T5,MIA (2-2) T8,NYK (2-2) T8,CHI (2-3),PHI (2-4) T11,IND (1-2) T11,NJN (1-2) T11,CHA (1-3),WAS (0-3),2009
"Nov 7, 2008",ATL (4-0),BOS (5-1),DET (4-1),CLE (4-2),MIA (3-2) T5,NYK (3-2) T5,ORL (3-2) T5,TOR (3-2) T5,CHI (3-3) T9,MIL (3-3) T9,NJN (2-2) T9,CHA (2-3),PHI (2-4),IND (1-3),WAS (0-4),2009
"Nov 8, 2008",ATL (4-0),BOS (5-1),DET (4-1),CLE (5-2),ORL (4-2),NYK (3-2) T6,TOR (3-2) T6,MIA (3-3),CHI (3-4) T9,MIL (3-4) T9,CHA (2-3) T11,IND (2-3) T11,NJN (2-3) T11,PHI (2-4),WAS (0-5),2009
"Nov 9, 2008",ATL (5-0),BOS (6-1),CLE (5-2),DET (4-2) T4,NYK (4-2) T4,ORL (4-2) T4,TOR (4-2) T4,MIA (3-3),CHI (3-4) T9,MIL (3-4) T9,IND (2-3) T11,NJN (2-3) T11,CHA (2-4) T13,PHI (2-4) T13,WAS (0-5),2009
"Nov 10, 2008",ATL (5-0),BOS (7-1),CLE (5-2),DET (4-2) T4,NYK (4-2) T4,MIA (4-3) T6,ORL (4-3) T6,TOR (4-3) T6,IND (3-3),CHI (3-4) T10,MIL (3-4) T10,CHA (2-4) T12,NJN (2-4) T12,PHI (2-4) T12,WAS (0-5),2009
"Nov 11, 2008",ATL (6-0),BOS (7-1),CLE (6-2),DET (5-2),MIA (4-3) T5,NYK (4-3) T5,ORL (4-3) T5,TOR (4-3) T5,IND (3-3),CHI (3-5) T10,MIL (3-5) T10,NJN (2-4),CHA (2-5) T13,PHI (2-5) T13,WAS (0-5),2009
"Nov 12, 2008",BOS (8-1),ATL (6-1),CLE (6-2),DET (5-2),NYK (5-3) T5,ORL (5-3) T5,IND (4-3),MIA (4-4) T8,TOR (4-4) T8,MIL (4-5),CHI (3-5) T11,PHI (3-5) T11,CHA (2-5) T13,NJN (2-5) T13,WAS (1-5),2009
"Nov 13, 2008",BOS (8-1),ATL (6-1),CLE (7-2),DET (6-2),NYK (5-3) T5,ORL (5-3) T5,IND (4-3),MIA (4-4) T8,TOR (4-4) T8,CHI (4-5) T10,MIL (4-5) T10,PHI (3-5),CHA (2-5) T13,NJN (2-5) T13,WAS (1-5),2009
"Nov 14, 2008",BOS (8-2),CLE (7-2) T2,DET (7-2) T2,ATL (6-2),NYK (6-3) T5,ORL (6-3) T5,MIA (5-4),MIL (5-5) T8,IND (4-4) T8,TOR (4-4) T8,CHI (4-5) T11,PHI (4-5) T11,CHA (3-5) T13,NJN (3-5) T13,WAS (1-6),2009
"Nov 15, 2008",BOS (9-2),CLE (8-2),DET (7-2),ATL (6-3) T4,NYK (6-3) T4,ORL (6-3) T4,MIA (5-4),CHI (5-5) T8,PHI (5-5) T8,TOR (4-4) T8,MIL (5-6),IND (4-5) T12,NJN (4-5) T12,CHA (3-5),WAS (1-6),2009
"Nov 16, 2008",BOS (9-2),CLE (8-2),DET (7-3) T3,ORL (7-3) T3,ATL (6-3),NYK (6-4),TOR (5-4),CHI (5-5) T8,MIA (5-5) T8,PHI (5-5) T8,MIL (5-6),IND (4-5) T12,NJN (4-5) T12,CHA (3-6),WAS (1-6),2009
"Nov 17, 2008",BOS (9-2),CLE (8-2),DET (7-3) T3,ORL (7-3) T3,ATL (6-3),NYK (6-4),TOR (5-4),CHI (5-5) T8,MIA (5-5) T8,PHI (5-5) T8,MIL (5-6),IND (4-5) T12,NJN (4-5) T12,CHA (3-6),WAS (1-6),2009
"Nov 18, 2008",BOS (10-2),CLE (9-2),ORL (8-3),DET (7-3),ATL (6-4),MIA (6-5) T6,NYK (6-5) T6,IND (5-5) T8,PHI (5-5) T8,TOR (5-5) T8,CHI (5-6),MIL (5-7),NJN (4-6),CHA (3-7),WAS (1-7),2009
"Nov 19, 2008",BOS (10-2),CLE (9-3),DET (8-3) T3,ORL (8-3) T3,ATL (7-4),NYK (6-5) T6,TOR (6-5) T6,MIA (6-6) T8,IND (5-5) T8,PHI (5-6),CHI (5-7),NJN (4-6),MIL (5-8),CHA (3-7),WAS (1-8),2009
"Nov 20, 2008",BOS (11-2),CLE (9-3),ORL (8-3),DET (8-4),ATL (7-4),NYK (6-5) T6,TOR (6-5) T6,MIA (6-6) T8,IND (5-5) T8,PHI (5-6),CHI (5-7),NJN (4-6),MIL (5-8),CHA (3-7),WAS (1-8),2009
"Nov 21, 2008",BOS (12-2),CLE (9-3) T2,ORL (9-3) T2,ATL (8-4) T4,DET (8-4) T4,MIA (6-6) T6,NYK (6-6) T6,PHI (6-6) T6,TOR (6-6) T6,CHI (6-7),IND (5-6) T11,NJN (5-6) T11,MIL (6-8),CHA (3-8),WAS (1-9),2009
"Nov 22, 2008",BOS (12-2),CLE (10-3),ORL (9-4),DET (8-4),ATL (8-5),MIA (7-6) T6,NYK (7-6) T6,NJN (6-6) T8,PHI (6-6) T8,TOR (6-6) T8,MIL (7-8),CHI (6-7),IND (5-7),CHA (3-9),WAS (1-10),2009
"Nov 23, 2008",BOS (13-2),CLE (10-3),ORL (9-4),ATL (8-5) T4,DET (8-5) T4,MIA (7-6) T6,NYK (7-6) T6,PHI (7-6) T6,NJN (6-6),MIL (7-8),TOR (6-7),CHI (6-8),IND (5-7),CHA (3-9),WAS (1-10),2009
"Nov 24, 2008",BOS (13-2),CLE (10-3),ORL (10-4),ATL (8-5) T4,DET (8-5) T4,NYK (7-6),MIA (7-7) T7,PHI (7-7) T7,NJN (6-6) T7,CHI (7-8),TOR (6-7),MIL (7-9),IND (5-7),CHA (4-9),WAS (1-10),2009
"Nov 25, 2008",BOS (13-2),CLE (11-3),ORL (10-4),ATL (8-5) T4,DET (8-5) T4,MIA (7-7) T6,NYK (7-7) T6,PHI (7-7) T6,CHI (7-8),NJN (6-7) T10,TOR (6-7) T10,MIL (7-9),IND (5-8),CHA (4-9),WAS (2-10),2009
"Nov 26, 2008",BOS (14-2),CLE (12-3),ORL (11-4),ATL (9-5) T4,DET (9-5) T4,NJN (7-7) T6,TOR (7-7) T6,MIA (7-8) T8,NYK (7-8) T8,PHI (7-8) T8,CHI (7-9),IND (6-8),MIL (7-10),CHA (4-10),WAS (2-10),2009
"Nov 27, 2008",BOS (14-2),CLE (12-3),ORL (12-4),ATL (9-5) T4,DET (9-5) T4,NJN (7-7) T6,TOR (7-7) T6,MIA (7-8) T8,NYK (7-8) T8,PHI (7-8) T8,CHI (7-9),IND (6-8),MIL (7-10),CHA (4-10),WAS (2-11),2009
"Nov 28, 2008",BOS (15-2),CLE (13-3),ORL (12-4),DET (10-5),ATL (9-6),TOR (8-7),MIA (8-8) T7,NJN (7-7) T7,NYK (7-8),CHI (7-9) T10,PHI (7-9) T10,IND (6-9),MIL (7-11),CHA (5-10),WAS (2-11),2009
"Nov 29, 2008",BOS (16-2),CLE (14-3),ORL (13-4),DET (10-5),ATL (10-6),NJN (8-7) T6,TOR (8-7) T6,NYK (8-8),MIA (8-9),CHI (7-9) T10,PHI (7-9) T10,IND (6-10),MIL (7-12),CHA (5-11),WAS (2-12),2009
"Nov 30, 2008",BOS (16-2),CLE (14-3),ORL (13-4),ATL (10-6) T4,DET (10-6) T4,NJN (9-7),NYK (8-8) T7,TOR (8-8) T7,CHI (8-9) T9,MIA (8-9) T9,PHI (7-10),IND (6-10),MIL (7-12),CHA (5-11),WAS (2-12),2009
"Dec 1, 2008",BOS (17-2),CLE (14-3),ORL (13-5),ATL (10-6) T4,DET (10-6) T4,NJN (9-7),MIA (9-9) T7,NYK (8-8) T7,TOR (8-8) T7,CHI (8-9),PHI (7-10),IND (6-10),MIL (7-12),CHA (6-11),WAS (2-12),2009
"Dec 2, 2008",BOS (17-2),CLE (14-3),ORL (13-5),DET (11-6),ATL (10-6),NJN (9-8),MIA (9-9),NYK (8-9) T8,TOR (8-9) T8,CHI (8-10) T10,PHI (8-10) T10,IND (7-10),MIL (7-12),CHA (6-11),WAS (3-12),2009
"Dec 3, 2008",BOS (18-2),CLE (15-3),ORL (14-5),ATL (11-6) T4,DET (11-6) T4,NJN (9-8),MIA (10-9),TOR (8-9),NYK (8-10),CHI (8-11) T10,PHI (8-11) T10,MIL (8-12),CHA (7-11) T13,IND (7-11) T13,WAS (3-13),2009
"Dec 4, 2008",BOS (18-2),CLE (15-3),ORL (14-5),ATL (11-6) T4,DET (11-6) T4,NJN (9-8),MIA (10-9),TOR (8-9),NYK (8-10),CHI (8-11) T10,PHI (8-11) T10,MIL (8-12),CHA (7-11) T13,IND (7-11) T13,WAS (3-13),2009
"Dec 5, 2008",BOS (19-2),CLE (16-3),ORL (15-5),ATL (12-6),DET (11-7),NJN (10-8),MIA (10-9),PHI (9-11),TOR (8-10),MIL (9-12),CHI (8-11) T11,NYK (8-11) T11,CHA (7-12) T13,IND (7-12) T13,WAS (3-14),2009
"Dec 6, 2008",BOS (19-2),CLE (17-3),ORL (15-5),ATL (12-7),DET (11-7),NJN (11-8),MIA (11-9),CHI (9-11),TOR (8-10),MIL (9-12) T10,PHI (9-12) T10,NYK (8-11),IND (7-12),CHA (7-13),WAS (3-15),2009
"Dec 7, 2008",BOS (20-2),CLE (17-3),ORL (15-5),ATL (12-7),DET (11-8) T5,NJN (11-8) T5,MIA (11-9),CHI (9-11) T8,NYK (9-11) T8,PHI (9-12),TOR (8-11),MIL (9-13),CHA (7-13) T13,IND (7-13) T13,WAS (3-15),2009
"Dec 8, 2008",BOS (20-2),CLE (17-3),ORL (16-5),ATL (12-7),DET (11-8) T5,NJN (11-8) T5,MIA (12-9),CHI (9-11) T8,NYK (9-11) T8,PHI (9-12),TOR (8-11),MIL (9-13),IND (7-13),CHA (7-14),WAS (3-15),2009
"Dec 9, 2008",BOS (20-2),CLE (18-3),ORL (17-5),ATL (12-8),NJN (11-8),MIA (12-9),DET (11-9),CHI (10-11),NYK (9-12) T9,PHI (9-12) T9,TOR (8-12),MIL (9-14),IND (7-13),CHA (7-14),WAS (4-15),2009
"Dec 10, 2008",BOS (20-2),CLE (19-3),ORL (17-5),ATL (12-9) T4,MIA (12-9) T4,DET (11-9) T6,NJN (11-9) T6,CHI (10-11),NYK (10-12),TOR (9-12),PHI (9-13),MIL (9-15),IND (7-14),CHA (7-15),WAS (4-15),2009
"Dec 11, 2008",BOS (21-2),CLE (19-3),ORL (17-5),ATL (12-9) T4,MIA (12-9) T4,DET (11-9) T6,NJN (11-9) T6,CHI (10-11),NYK (10-12),TOR (9-12),PHI (9-13),MIL (9-15),IND (7-14),CHA (7-16),WAS (4-16),2009
"Dec 12, 2008",BOS (22-2),CLE (20-3),ORL (17-6),ATL (13-9),DET (12-9),MIA (12-10),NJN (11-10),CHI (10-12) T8,NYK (10-12) T8,TOR (10-12) T8,PHI (9-14),MIL (9-15),IND (7-15),CHA (7-16),WAS (4-16),2009
"Dec 13, 2008",BOS (22-2),CLE (20-4),ORL (18-6),ATL (14-9),DET (13-9),MIA (12-10),NJN (11-11),CHI (11-12) T8,NYK (11-12) T8,TOR (10-12),PHI (10-14),MIL (10-15),IND (7-16),CHA (7-17),WAS (4-17),2009
"Dec 14, 2008",BOS (22-2),CLE (20-4),ORL (18-6),ATL (14-9),DET (13-9),MIA (12-11),NJN (11-11),CHI (11-12) T8,NYK (11-12) T8,TOR (10-13),PHI (10-14),MIL (10-15),IND (7-16),CHA (7-17),WAS (4-17),2009
"Dec 15, 2008",BOS (23-2),CLE (20-4),ORL (19-6),ATL (15-9),DET (13-9),NJN (12-11),MIA (12-12),CHI (11-12),NYK (11-13),MIL (11-15),PHI (10-14) T11,TOR (10-14) T11,IND (8-16),CHA (7-18),WAS (4-18),2009
"Dec 16, 2008",BOS (23-2),CLE (20-4),ORL (19-6),ATL (15-9),DET (13-9),NJN (12-11),MIA (12-12),CHI (11-13),NYK (11-14),MIL (11-15),PHI (10-14) T11,TOR (10-14) T11,IND (8-16),CHA (8-18),WAS (4-18),2009
"Dec 17, 2008",BOS (24-2),CLE (21-4),ORL (19-6),DET (14-9),ATL (15-10),MIA (12-12) T6,NJN (12-12) T6,CHI (12-13),NYK (11-14) T9,PHI (11-14) T9,MIL (11-16),TOR (10-15),IND (9-16),CHA (8-18),WAS (4-19),2009
"Dec 18, 2008",BOS (24-2),CLE (21-4),ORL (20-6),DET (14-9),ATL (15-10),MIA (12-12) T6,NJN (12-12) T6,CHI (12-13),NYK (11-14) T9,PHI (11-14) T9,MIL (11-16),TOR (10-15),IND (9-16),CHA (8-18),WAS (4-19),2009
"Dec 19, 2008",BOS (25-2),CLE (22-4),ORL (20-6),ATL (16-10),DET (14-10),MIA (13-12) T6,NJN (13-12) T6,CHI (12-14) T8,PHI (12-14) T8,MIL (12-16),NYK (11-15),TOR (10-16),IND (9-17),CHA (9-18),WAS (4-20),2009
"Dec 20, 2008",BOS (25-2),CLE (22-4),ORL (21-6),ATL (16-10),DET (14-10),MIA (14-12),NJN (13-13),CHI (13-14),MIL (13-16),PHI (12-15),NYK (11-15),IND (10-17) T12,TOR (10-17) T12,CHA (9-19),WAS (4-20),2009
"Dec 21, 2008",BOS (26-2),CLE (23-4),ORL (21-6),ATL (17-10),DET (14-11),MIA (14-12),NJN (13-13),CHI (13-14),MIL (13-16),PHI (12-15),NYK (11-16),IND (10-17) T12,TOR (10-17) T12,CHA (9-19),WAS (4-21),2009
"Dec 22, 2008",BOS (26-2),CLE (23-4),ORL (22-6),ATL (17-10),DET (14-11),MIA (14-12),CHI (13-14) T7,NJN (13-14) T7,MIL (13-16),PHI (12-15),NYK (11-16),TOR (11-17),IND (10-17),CHA (9-19),WAS (4-21),2009
"Dec 23, 2008",BOS (27-2),CLE (24-4),ORL (22-6),ATL (18-10),DET (15-11),MIA (15-12),NJN (14-14),MIL (14-16),CHI (13-15),PHI (12-16),NYK (11-16),TOR (11-17),IND (10-18),CHA (10-19),WAS (4-22),2009
"Dec 25, 2008",BOS (27-3),CLE (25-4),ORL (23-6),ATL (18-10),DET (15-11),MIA (15-12),NJN (14-14),MIL (14-16),CHI (13-15),PHI (12-16),NYK (11-16),TOR (11-17),IND (10-18),CHA (10-19),WAS (4-23),2009
"Dec 26, 2008",BOS (27-4),CLE (25-4),ORL (23-6),ATL (18-10),DET (16-11),MIA (16-12),NJN (14-15),MIL (14-16),CHI (13-16),PHI (12-17) T10,TOR (12-17) T10,NYK (11-17),CHA (11-19),IND (10-19),WAS (4-23),2009
"Dec 27, 2008",BOS (27-4),CLE (25-4),ORL (24-6),ATL (19-10),DET (17-11),MIA (16-12),NJN (15-15),MIL (14-17),CHI (13-17),PHI (12-17),TOR (12-18),NYK (11-17),CHA (11-20),IND (10-19),WAS (5-23),2009
"Dec 28, 2008",BOS (28-4),CLE (26-4),ORL (24-6),ATL (19-10),DET (17-11),MIA (16-13),NJN (15-15),MIL (14-17),CHI (13-17),PHI (12-17),TOR (12-18),NYK (11-18),CHA (11-20),IND (10-20),WAS (5-23),2009
"Dec 29, 2008",BOS (28-4),CLE (26-4),ORL (24-7),ATL (20-10),DET (18-11),MIA (16-13),NJN (15-16),CHI (14-17) T8,MIL (14-17) T8,PHI (12-18),TOR (12-19),NYK (11-18),CHA (11-20),IND (10-20),WAS (6-23),2009
"Dec 30, 2008",BOS (28-5),CLE (26-5),ORL (24-7),ATL (21-10),DET (18-11),MIA (17-13),NJN (15-16),MIL (15-17),CHI (14-17),NYK (12-18) T10,PHI (12-18) T10,TOR (12-19),CHA (11-21),IND (10-21),WAS (6-24),2009
"Dec 31, 2008",BOS (28-5),CLE (26-5),ORL (25-7),ATL (21-10),DET (19-11),MIA (17-13),NJN (15-17),MIL (15-18),CHI (14-18),PHI (13-18),NYK (12-18),TOR (12-20),CHA (11-21),IND (10-21),WAS (6-24),2009
"Jan 2, 2009",BOS (29-5),CLE (27-5),ORL (26-7),ATL (21-11),DET (20-11),MIA (17-14),NJN (16-17),MIL (16-18),CHI (14-19),PHI (13-19),TOR (13-20),NYK (12-19),IND (11-21),CHA (11-22),WAS (6-25),2009
"Jan 3, 2009",BOS (29-5),CLE (27-5),ORL (26-7),ATL (22-11),DET (20-11),MIA (18-14),NJN (16-18),MIL (16-19),CHI (14-20),PHI (13-20) T10,TOR (13-20) T10,NYK (12-19),IND (12-21),CHA (12-22),WAS (6-25),2009
"Jan 4, 2009",BOS (29-6),CLE (27-6),ORL (26-8),ATL (22-11),DET (21-11),MIA (18-14),NJN (16-18),MIL (16-19),CHI (14-20) T9,TOR (14-20) T9,NYK (13-19),PHI (13-20),IND (12-21),CHA (12-22),WAS (7-25),2009
"Jan 5, 2009",BOS (29-6),CLE (27-6),ORL (26-8),ATL (22-11),DET (21-11),MIA (18-15),NJN (17-18),MIL (17-19),CHI (14-20),NYK (13-19),TOR (14-21),PHI (13-20),CHA (12-22) T13,IND (12-22) T13,WAS (7-25),2009
"Jan 6, 2009",CLE (27-6),BOS (29-7),ORL (27-8),ATL (22-11),DET (21-11),MIA (18-15),NJN (17-18),MIL (17-19),CHI (15-20),PHI (14-20),TOR (14-21),NYK (13-20),CHA (13-22),IND (12-22),WAS (7-26),2009
"Jan 7, 2009",CLE (28-6),BOS (29-8),ORL (28-8),ATL (22-12),DET (21-12),MIA (18-16),NJN (18-18),MIL (17-20),CHI (15-20) T9,PHI (15-20) T9,TOR (15-21),NYK (13-20),IND (13-22),CHA (13-23),WAS (7-27),2009
"Jan 8, 2009",CLE (28-6),BOS (29-8),ORL (28-8),ATL (22-12),DET (21-12),MIA (18-16),NJN (18-18),MIL (17-20),CHI (15-20) T9,PHI (15-20) T9,TOR (15-21),NYK (13-21),IND (13-22),CHA (13-23),WAS (7-27),2009
"Jan 9, 2009",CLE (29-6),ORL (29-8),BOS (29-9),DET (22-12),ATL (22-13),MIA (19-16),NJN (18-19),MIL (18-20),CHI (16-20) T9,PHI (16-20) T9,TOR (16-21),NYK (13-21),IND (13-23),CHA (13-24),WAS (7-28),2009
"Jan 10, 2009",CLE (29-6),ORL (29-8),BOS (29-9),ATL (22-13) T4,DET (22-13) T4,MIA (19-16),NJN (18-19),MIL (18-21),PHI (16-20),CHI (16-21) T10,TOR (16-21) T10,NYK (13-22),CHA (14-24),IND (13-23),WAS (7-29),2009
"Jan 11, 2009",CLE (29-6),ORL (30-8),BOS (30-9),DET (22-13),ATL (22-14),MIA (19-17),NJN (18-19),MIL (18-21),PHI (17-20),CHI (16-21),TOR (16-22),NYK (13-22),CHA (14-24),IND (13-24),WAS (7-29),2009
"Jan 12, 2009",CLE (29-6),ORL (30-8),BOS (31-9),DET (22-13),ATL (22-14),MIA (19-17),NJN (19-19),MIL (19-21),PHI (17-20),CHI (16-22),TOR (16-23),NYK (14-22),CHA (14-24),IND (13-25),WAS (7-30),2009
"Jan 13, 2009",CLE (30-6),ORL (31-8),BOS (31-9),DET (22-14),ATL (22-15),MIA (20-17),NJN (19-19),MIL (19-21),PHI (17-20),CHI (16-22),TOR (16-23),NYK (14-22),CHA (15-24),IND (13-25),WAS (7-30),2009
"Jan 14, 2009",CLE (30-6),ORL (31-8),BOS (32-9),ATL (23-15),DET (22-15),MIA (21-17),NJN (19-20),PHI (18-20),MIL (19-22),CHI (17-22),NYK (15-22),TOR (16-24),CHA (15-24),IND (14-25),WAS (7-31),2009
"Jan 15, 2009",CLE (30-7),ORL (31-8),BOS (32-9),ATL (23-15),DET (22-15),MIA (21-17),NJN (19-21),PHI (18-20),MIL (19-22),CHI (18-22),NYK (15-22),TOR (16-24),CHA (15-24),IND (14-25),WAS (7-31),2009
"Jan 16, 2009",CLE (31-7),ORL (32-8),BOS (32-9),ATL (23-16),DET (22-16),MIA (21-17),PHI (19-20),MIL (20-22),NJN (19-21),CHI (18-22),NYK (15-23),TOR (16-25),CHA (15-24),IND (15-25),WAS (8-31),2009
"Jan 17, 2009",CLE (31-7),ORL (33-8),BOS (33-9),ATL (23-16),DET (22-17),MIA (21-18),PHI (20-20),MIL (20-23),NJN (19-22),CHI (18-23),CHA (16-24),TOR (16-25),NYK (15-24),IND (15-25),WAS (8-31),2009
"Jan 18, 2009",CLE (31-7),ORL (33-8),BOS (33-9),ATL (23-16),DET (22-17),MIA (22-18),PHI (20-20),MIL (20-23),NJN (19-22),CHI (18-23),CHA (16-24),NYK (15-24),TOR (16-26),IND (15-25),WAS (8-31),2009
"Jan 19, 2009",ORL (33-8),CLE (31-8),BOS (34-9),ATL (24-16),DET (23-17),MIA (22-18),PHI (20-21),NJN (19-22),MIL (20-24),CHI (18-24),NYK (16-24),CHA (16-25),TOR (16-27),IND (15-26),WAS (8-32),2009
"Jan 20, 2009",ORL (33-8),CLE (31-8),BOS (34-9),ATL (25-16),DET (23-17),MIA (22-18),PHI (20-21),NJN (19-22),MIL (20-24),CHI (18-25),NYK (16-24),CHA (16-25),TOR (16-27),IND (15-27),WAS (8-32),2009
"Jan 21, 2009",ORL (33-8),CLE (32-8),BOS (35-9),ATL (25-16),DET (24-17),MIA (22-19),PHI (20-21),MIL (21-24),NJN (19-23),CHI (18-25),NYK (17-24),CHA (17-25),TOR (16-28),IND (15-27),WAS (9-32),2009
"Jan 22, 2009",BOS (36-9) T1,CLE (32-8) T1,ORL (33-9),ATL (25-16),DET (24-17),MIA (22-19),PHI (20-21),MIL (21-24),NJN (19-23),CHI (18-25),NYK (17-24),CHA (17-25),TOR (16-28),IND (15-27),WAS (9-33),2009
"Jan 23, 2009",CLE (33-8),BOS (36-9),ORL (33-9),ATL (26-16),DET (24-18),MIA (22-19),PHI (20-21),MIL (21-25),NJN (19-24),NYK (18-24),CHA (18-25),CHI (18-26),TOR (17-28),IND (16-27),WAS (9-33),2009
"Jan 24, 2009",CLE (34-8),BOS (36-9),ORL (33-10),ATL (26-16),DET (24-18),MIA (23-19),PHI (21-21),MIL (22-25),NJN (20-24),CHA (18-25) T10,NYK (18-25) T10,CHI (18-26),TOR (17-28),IND (16-27),WAS (9-34),2009
"Jan 25, 2009",CLE (34-8),BOS (37-9),ORL (33-10),ATL (26-17),DET (24-19),MIA (23-19),PHI (21-21),MIL (22-25),NJN (20-24),NYK (18-25),CHA (18-26),CHI (18-27),TOR (18-28),IND (17-27),WAS (9-34),2009
"Jan 26, 2009",CLE (34-8),BOS (37-9),ORL (33-10),ATL (26-18),DET (24-19) T5,MIA (24-19) T5,PHI (21-22),MIL (22-26),NJN (20-25),NYK (19-25),CHA (18-26),CHI (18-27),TOR (18-28),IND (17-27),WAS (9-35),2009
"Jan 27, 2009",CLE (35-8),BOS (37-9),ORL (34-10),ATL (26-18),DET (24-19) T5,MIA (24-19) T5,PHI (21-22),MIL (22-26),NJN (20-25),NYK (19-25),CHA (19-26),CHI (18-27),TOR (18-28),IND (17-28),WAS (9-35),2009
"Jan 28, 2009",CLE (35-8),BOS (38-9),ORL (34-10),ATL (26-19),DET (25-19) T5,MIA (25-19) T5,PHI (22-22),MIL (22-27),NYK (20-25),NJN (20-26),CHA (19-27) T11,CHI (19-27) T11,TOR (19-28),IND (18-28),WAS (9-36),2009
"Jan 29, 2009",BOS (38-9),CLE (35-9),ORL (35-10),ATL (26-19),DET (25-19) T5,MIA (25-19) T5,PHI (22-22),MIL (22-27),NYK (20-25),NJN (20-26),CHA (19-27) T11,CHI (19-27) T11,TOR (19-28),IND (18-28),WAS (9-36),2009
"Jan 30, 2009",BOS (39-9),CLE (36-9),ORL (35-10),ATL (27-19),DET (25-20) T5,MIA (25-20) T5,PHI (23-22),MIL (23-27),NYK (20-25),CHI (20-27) T10,NJN (20-27) T10,CHA (19-28) T12,IND (19-28) T12,TOR (19-29),WAS (9-37),2009
